"CdId","smiles","MolWeight","Formula","moleculename","E1","E2","E3","E4","h1","h2","h3","h4","l1","l2","l3","l4","reorg","IP_vert","IP_adia","ringcount","fusedringcount","rotatablebondcount","vdwsa","atomcountS","avgpol","axx","ayy","azz"
"1","c1ccsc1","84.14","C4H4S","thiophene","-553.0092","-552.68896","-553.00183","-552.6964","-0.2332851","-0.4826722","-0.2195941","-0.4889547","-0.0084375","-0.2677173","-0.0181996","-0.277327","0.014797472","0.32023546","0.3128081","1","0","0","115","1","8","10","10","5"
"2","c1ccc2ccccc2c1","128.17","C10H8","naph","-385.90536","-385.62238","-385.90198","-385.6258","-0.2132425","-0.4201274","-0.2067133","-0.4136476","-0.0359905","-0.2372536","-0.0431282","-0.2449241","0.0067917006","0.28298494","0.27957752","2","2","0","198","0","14","19","16","7"
"3","c1cc2sccc2s1","140.22","C6H4S2","ttf","-1027.4088","-1027.1196","-1027.4014","-1027.1272","-0.2154978","-0.423404","-0.2009905","-0.4168067","-0.027207","-0.2400313","-0.0336788","-0.2464961","0.015024364","0.2891871","0.28163093","2","2","0","157","2","13","18","15","8"
"4","c1ccc(cc1)-c1ccccc1","154.21","C12H10","diphenyl","-463.322","-463.03543","-463.31577","-463.04233","-0.2225397","-0.4121465","-0.2096776","-0.3993251","-0.0255569","-0.2095989","-0.0391046","-0.2235885","0.013146942","0.28657183","0.27965987","2","0","1","243","0","17","24","16","11"
"5","c1csc(c1)-c1cccs1","166.26","C8H6S2","ttl","-1104.8267","-1104.5566","-1104.8198","-1104.5652","-0.2037354","-0.4017726","-0.1886528","-0.3864719","-0.0441964","-0.2339795","-0.0529481","-0.2429726","0.015453289","0.27009168","0.2614741","2","0","1","202","2","17","23","18","9"
"6","c1ccc2c(c1)ccc1ccccc21","178.23","C14H10","phenanth3","-539.55457","-539.2817","-539.55054","-539.2857","-0.211081","-0.3870036","-0.2033752","-0.3833056","-0.0371626","-0.2149786","-0.0443289","-0.2221502","0.008026274","0.27288628","0.26887876","3","3","0","260","0","20","22","28","10"
"7","c1ccc2cc3ccccc3cc2c1","178.23","C14H10","B.APL_84_2004_5383_1a","-539.54626","-539.2933","-539.54376","-539.29584","-0.1925166","-0.3704303","-0.1875958","-0.3659668","-0.0605797","-0.2350856","-0.0654003","-0.2405692","0.0050643133","0.2530203","0.25047103","3","3","0","261","0","20","29","21","10"
"8","c1cc2c(ccc3ccsc23)s1","190.28","C10H6S2","B.JMCC_1_2013_1297_1c","-1181.0686","-1180.7925","-1181.0641","-1180.7965","-0.2124292","-0.3861746","-0.2038065","-0.3881287","-0.0299373","-0.2112997","-0.034948","-0.2184484","0.008445852","0.27607483","0.27207163","3","3","0","220","2","19","21","26","10"
"9","c1cc2c3ccsc3ccc2s1","190.28","C10H6S2","B.JMCC_1_2013_1297_1b","-1181.0686","-1180.7964","-1181.0632","-1180.8016","-0.2084846","-0.3901115","-0.1981383","-0.3793679","-0.0374196","-0.2175293","-0.0429124","-0.2227068","0.0105983475","0.2722439","0.26699942","3","3","0","220","2","19","26","21","10"
"10","c1cc2cc3ccsc3cc2s1","190.28","C10H6S2","B.CAEJ_12_2006_2073_2","-1181.0662","-1180.8014","-1181.0642","-1180.8033","-0.202094","-0.3840296","-0.1982197","-0.3806151","-0.0329665","-0.2107115","-0.035996","-0.2148172","0.003950523","0.26474196","0.26281098","3","3","0","220","2","19","20","28","10"
"11","c1cc2cc3sccc3cc2s1","190.28","C10H6S2","BDT","-1181.0667","-1180.8025","-1181.0634","-1180.8053","-0.2013324","-0.3818334","-0.195196","-0.3751442","-0.0403559","-0.2161506","-0.0437087","-0.2210861","0.006076433","0.26406676","0.26128876","3","3","0","220","2","19","28","20","10"
"12","c1cc2c3cscc3sc2s1","196.30","C8H4S3","B.CR_115_2015_3036_495","-1501.8021","-1501.5353","-1501.7986","-1501.5387","-0.202405","-0.3966045","-0.1955558","-0.3894713","-0.0316682","-0.2160301","-0.0354285","-0.2203596","0.0071045356","0.26694384","0.26346126","3","3","0","200","3","19","26","20","10"
"13","c1cc2sc3ccsc3c2s1","196.30","C8H4S3","tttf","-1501.8086","-1501.5375","-1501.8021","-1501.5441","-0.2062547","-0.3935328","-0.1937225","-0.3908678","-0.0403948","-0.2277661","-0.0461515","-0.2335077","0.012947777","0.27104822","0.2645348","3","3","0","199","3","19","21","26","10"
"14","c1cc2sc3cscc3c2s1","196.30","C8H4S3","B.CR_115_2015_3036_496","-1501.805","-1501.537","-1501.801","-1501.5408","-0.2033831","-0.3974963","-0.1959932","-0.3897938","-0.0438252","-0.2281446","-0.0472931","-0.2331466","0.0076882127","0.26800644","0.26431715","3","3","0","200","3","19","21","26","10"
"15","c1scc2c1sc1cscc21","196.30","C8H4S3","B.CR_115_2015_3036_492","-1501.8041","-1501.5303","-1501.8007","-1501.5337","-0.2079081","-0.389236","-0.2013958","-0.3936298","-0.0409398","-0.2092048","-0.0405786","-0.2096941","0.0068785576","0.27383828","0.27040675","3","3","0","200","3","19","20","27","10"
"16","c1c2ccccc2c2cc3ccccc3c12","202.26","C16H10","B.ACIE_49_2010_7728_1a","-615.72217","-615.46466","-615.717","-615.4698","-0.1991971","-0.3690045","-0.1890322","-0.3589315","-0.0840434","-0.2461498","-0.0916826","-0.2538096","0.010256305","0.25746563","0.25237328","4","4","0","258","0","23","24","36","11"
"17","c1ccc2c(c1)ccc1c3ccccc3ccc21","228.29","C18H12","chrysene","-693.20105","-692.9425","-693.198","-692.9455","-0.2030577","-0.3634381","-0.1970984","-0.3578201","-0.0470782","-0.2059877","-0.0527752","-0.212132","0.0060735536","0.25854552","0.25556448","4","4","0","322","0","26","28","38","12"
"18","c1ccc2cc3cc4ccccc4cc3cc2c1","228.29","C18H12","B.JAP_96_2004_2080_2a","-693.18475","-692.95184","-693.18274","-692.9539","-0.1788888","-0.3375141","-0.1748816","-0.3341483","-0.0768463","-0.2331299","-0.0803445","-0.2373738","0.004087266","0.2329066","0.23084122","4","4","0","323","0","26","27","40","12"
"19","c1cc2cc3cc4ccccc4cc3cc2s1","234.32","C16H10S","B.JACS_128_2006_16002_2","-1013.9475","-1013.7095","-1013.9455","-1013.7115","-0.1832249","-0.3430005","-0.1792513","-0.3396999","-0.0680918","-0.2256703","-0.0711594","-0.2296419","0.0040288665","0.23801503","0.23601636","4","4","0","303","1","26","26","40","12"
"20","c1cc2c(ccc3c4ccsc4ccc23)s1","240.34","C14H8S2","iso-NDT","-1334.7172","-1334.4558","-1334.7126","-1334.4602","-0.2042299","-0.364782","-0.1955048","-0.3574263","-0.0463785","-0.2080783","-0.051904","-0.2129257","0.008941375","0.26136613","0.2569612","4","4","0","283","2","25","37","27","13"
"21","c1cc2c(s1)c1sccc1c1ccccc21","240.34","C14H8S2","B.CR_115_2015_3036_405","-1334.7163","-1334.4562","-1334.7118","-1334.4604","-0.202612","-0.3732287","-0.1939445","-0.3649116","-0.0462333","-0.2117348","-0.0515419","-0.2175892","0.008740537","0.26008233","0.255783","4","4","0","283","2","25","32","31","12"
"22","c1cc2cc3cc4ccsc4cc3cc2s1","240.34","C14H8S2","cis-NDT","-1334.7094","-1334.4662","-1334.7075","-1334.468","-0.187596","-0.3486221","-0.1839599","-0.3457554","-0.0572087","-0.2165908","-0.0596573","-0.2200186","0.003660424","0.24313937","0.24132971","4","4","0","283","2","26","39","26","13"
"23","c1cc2cc3cc4sccc4cc3cc2s1","240.34","C14H8S2","NDT","-1334.7095","-1334.4664","-1334.7074","-1334.4684","-0.1874503","-0.3480637","-0.1835828","-0.3445855","-0.0587002","-0.2173156","-0.0611523","-0.2206631","0.0038753655","0.24300878","0.24110515","4","4","0","283","2","26","39","26","13"
"24","c1cc2ccc3c4sccc4ccc3c2s1","240.34","C14H8S2","B.JOC_75_2010_1228","-1334.7179","-1334.4517","-1334.7129","-1334.457","-0.2084926","-0.3646513","-0.1987796","-0.3636139","-0.0432358","-0.2017507","-0.0473715","-0.2085067","0.010285821","0.26617572","0.26089546","4","4","0","282","2","25","27","36","12"
